Project Title,Project Clients,Project Specializations,Number of groups,Background,Requirements and Scope,Required Knowledge and skills,Expected outcomes/deliverables,Supervision,filename
CSE HDR student travel tracking system,Arjun Radhakrishnan,Software development; Computer Science and Algorithms .,3,"This proposal outlines the development of a Travel tracking software system designed to 
streamline and optimize the travel processes involved for the traveling HDR students in the 
CSE. The primary objective is to create an intuitive, efficient, and scalable solution that ensures 
identification of bottlenecks and changes to travel policies in the future while meeting user 
needs and preferences. CSE expects an outcome in this project whereby we receive a software 
that provide a streamlined and easy solution to  get budget approval, track expenses and 
record remaining balance of student funds as they initiate the travel plans through the UNSW 
travel partner (FCM Travels) . 
 
Project goals  
 
• Travel Tracking: Develop a system to track the process of students getting the travel 
itineraries prior to the budget approval from the supervisors.   
• Budget Management: Implement a budgeting module to identify the fund code associate d with 
the student, record the amount allocated, monitor, and manage the remaining balance available 
within their budget for each student. The same applies to a travelling academic.   
• User-Friendly Interface: Create an intuitive interface for travelers, managers, and 
administrators to easily manage travel plans and budgets.  
• Integration Capabilities: Ensure the software integrates with existing financial systems, HR 
systems, and can have capabilities to share the same information to the school as well as  the 
travel booking platform if need be.  
• Reporting and Analytics: Provide comprehensive reporting and analytics tools to help CSE 
monitor travel expenses, segregate them within each supervisor, and make informed decisions.","An easy to access tracking system that will help track the budget allocation and funds 
availability for HDR students.  
In Scope  
- CSE HDR student s  
Scope of Work and deliverables  
3.1. Requirements Analysis  
• Stakeholder Interviews: Conduct interviews with potential users to understand their 
needs and preferences.  • Use Case Development: Develop detailed use cases to capture functional and non -
functional requirements.  
• Technical Feasibility Study: Assess the technical requirements and feasibility of 
integrating with existing systems.  
3.2. System Design  
• Define the system architecture, including data flow diagrams, plans to integrate database 
with existing database if needed, develop prototype focusing on ease of use  and accessibility 
for users with a range of technical capabilities.  
• Consider constraints like travel policies, budget availability, etc.  
3.3. Development  
• Backend Development: Implement the server-side logic, database management, and API 
integrations.  
• Frontend Development: Develop the user interface that can be easily integrated to 
existing university systems and that requires minimal upgrades.  
• Integration: Integrate the system with existing tools such as finance systems, and travel 
management systems 3.4. Testing  
• Unit Testing: Test individual components for functionality and reliability.  
• System Testing: Conduct end-to-end testing to ensure all components work seamlessly 
together.  
• User Acceptance Testing (UAT): Engage with a sample group of end-users to validate 
the system’s functionality and usability.  
3.5. Deployment  
• Stage 1: Deploy the system final testing and validation by users (CSE Admin).  
• Stage 2: Launch the system for all users to use once testing is final.  
• Training & Documentation: Provide comprehensive training sessions and documentation 
for end-users (CSE admin team).  
3.6. Maintenance and Support  
• Training: Provide access and training for select staff to manage the system.  
• Updates and Enhancements: Provide a detailed document on possible updates the 
system may need to undergo for the next five years. Include CSE staff to supervise the 
documentation.","Technical Skills  
Software Development  
Programming Languages  
• Proficiency in languages such as Python, Java, JavaScript, or similar.  
• Web Development: Knowledge of HTML, CSS, and JavaScript frameworks (e.g., React, 
Angular, Vue.js).  Backend Development  
• Server-Side Languages: Proficiency in languages such as Node.js, Django (Python), 
Ruby on Rails, or similar.  
• Database Management: Skills in SQL and experience with databases like MySQL, 
PostgreSQL, MongoDB, or similar.  
• API Development: Experience in developing RESTful and/or GraphQL APIs.  
Frontend Development  
• UI/UX Design: Skills in creating intuitive and user-friendly interfaces.  
• Frontend Frameworks: Experience with frameworks like React, Angular, or Vue.js.  
• Integration  
• API Integration: Experience with integrating third-party services and APIs (e.g., Google 
Calendar, Microsoft Outlook).  
• Middleware: Knowledge of middleware technologies for smooth integration.","- The finished product is expected to be utilised for the long -term hence the knowledge of the 
source code shall be shared with the UNSW central IT team or CSE team.  
 - Training resources for staff/ training to select staff who could train the rest of the team",Arjun Radhakrishnan,P22 - CSE HDR student travel tracking system.pdf
Emotion Recognition Software,Gelareh Mohammadi,"Software development; Artificial Intelligence (Machine/Deep 
Learning, NLP); Human Computer Interaction (HCI); Computer vision.",4,"My research is on emotion recognition from multimodal data: face, audio, and physiology. 
Therefore, my team develops algorithms that can already do this task if the data from all such 
sensors are available. However, I would like to develop software that ca n collect all that data in 
a synchronised way during an interaction and utilise the developed algorithms to make online 
predictions about the user's emotions. If the scope is too broad for the course, I am open to 
reducing the scope and gradually add to th e system over several terms.","Developing a desktop or web-based software to collect data from a camera, microphone and 
smartwatch and detect emotions for a pre-defined scenario (e.g. watching emotional videos) 
using an algorithm from my group or an off-the-shelf emotion recognition algorithm.  
Hardware Requirements: (which I will provide)  
Camera: The software needs to be compatible with webcams or other types of cameras 
capable of capturing facial expressions.  
Microphone: Support for microphones to capture audio data.  
Smartwatch or some physiolo gy sensors: Compatibility with smartwatches capable of collecting 
physiological data related to emotions, such as heart rate variability (HRV).  
 
Software Platform:  
Desktop or Web-based: At this stage, I prefer to go with a desktop  
 
Data Collection:  
Integra tion with camera, microphone, and smartwatch APIs: Develop modules to capture data 
streams from these devices.  
Data synchronization: Ensure synchronized collection of data from different sources (camera, 
microphone, smartwatch) for accurate analysis.  
 
Emot ion Recognition Algorithm: (this will be provided or off-the-shelf algorithms can be used)  
considering the requirements of the deployed algorithm in data processing  
 
User Interface:  
Intuitive Design: Develop a user-friendly interface for data input, visual ization of collected data, 
and presentation of emotion detection results.  
Compatibility: Ensure compatibility with the screen size  
 
Testing and Validation:  Functional Testing: Conduct thorough testing to ensure the proper functionality of all features, 
including data collection, synchronisation, processing, emotion recognition, and user interface 
interactions.  
Performance Testing: Evaluate the software's perf ormance in terms of speed, accuracy, and 
resource utilization.  
User Feedback: Gather feedback from users to identify areas for improvement and refinement.  
 
Documentation and Support:  
User Manual: Prepare comprehensive documentation to guide users on how to  use the 
software effectively.  
 
Deployment and Distribution:  
 
Compatibility: Ensure compatibility with Windows O S","- Software Engineerin g 
- Knowledge of HCI principles and user experience (UX) design concepts to develop an 
intuitive and user -friendly interface for the software.  
- Understanding of usability testing methodologies and techniques to gather feedback and 
iteratively improve the user interface design.  
- Familiarity with hardware APIs and SDKs for integrating data collection from cameras, 
microphones, and smartwatches into the software.  
- some familiarity with machine learning and data analysis",A software and the relevant documentation,Gelareh Mohammadi,P7 - Emotion Recognition Software.pdf
Voice-based interface for NLP models,"Aditya Joshi  
Number of Groups:  2",None,5,"NLP systems may use conversation agents, sentiment analyzers, hate speech detection, and 
so on. NLP researchers often fine tune their own models for various tasks. We would like to 
have a voice-based interface for such Transformer-based models.  
 
Goals:   
1) To create a voice-based interface for text-based (i.e., NLP) models.  
2) To test the interface with two scenarios: (a) speakers that use different dialects, (b) multiple 
speakers interacting with the system.  
 
We hope to use the interface in our ongoin g research on NLP for dialects of English, funded by 
Google Research.","• The project will focus on NLP models for English.  
• The project can use HuggingFace models for text only.  
• The response time should be reasonable.  
• Evaluation with a set of users who use different dialects of English, and with a set of users 
engaged in a conversation or parallel talk.  
• The project can use black-box models for transcription.  
The voice-based interface will be available as a web-based interface that uses the microphone on 
the user's device to record the audio and  allows the user to select a particular model (For example: 
""Sentiment Analysis"") from among a set of available models. The interface will then convert the 
audio to text and  use an NLP-based model to obtain the inference. The output will be produced on 
the screen either as text or as audio.  
 
The project will enable the students to design an NLP system that effectively int egrates different 
NLP/speech processing models, and tests them in a web-based setting. The test setting will help 
the students understand the effectiveness of their system. The students may target an NLP demo 
paper at the end of the course, if that is of i nterest to the team.","The students should be able to use transformer-based models. Fine-tuning skills are good but not 
essential. The students should be able to create web-based interfaces that receive text and audio as 
input and produce the same as output.","• Open-source code  
• Documentation  
• User guide to configure the interface for new models.",Aditya Joshi,P1 - Voice-based interface for NLP models.pdf
Predicting contaminant degradation in groundwater using machine learning,Professor Michael Manefield,"Artificial Intelligence (Machine/Deep Learning, NLP); 
Bioinformatics/Biomedical; Big data analytics and visualization.",6,"Bacteria degrade pollutants. It is difficult to predict degradation rates. This project explores the 
potential of machine learning to predict pollutant degradation rates using biogeochemical data 
including physical data, chemical data and DNA sequence data .","Data from a large field site will be collated and used to train machine learning models to 
associate features with pollutant degradation.  
Just need some bright minds with machine learning experience.",Machine learning experience,Models that can predict pollutant degradation from biogeochemical data .,Professor Michael Manefield,P14 - Predicting contaminant degradation in groundwater using machine learning.pdf
APRA regulatory reporting automation,"Alan Hsiao ,","Web application development;  Software development;  Cloud 
computing;  Big data analytics and visualization;  Knowledge Graph . 
Background:   
APRA regulatory reporting is a complex and costly compliance burden for all banks.  
The process of managing regulatory requirements and updates over time is a time consuming 
and error prone process. The challenge is a unique one as the Australian banking regulator  
(APRA) must harmonise data definition across over 100 financial institutions.  
Due to the complexity and inefficiency of this process, it has been a challenge for APRA to roll 
out additional regulatory returns, hampering its prudential governance capability as well as 
limiting the granularity of some of Australia's economic data made  available to the Australian 
Bureau of Statistics. The ability to generate new economic data and metrics is crucial for 
economic planning purposes within the Australian government.",7,"APRA regulatory reporting is a complex and costly compliance burden for all banks.  
The process of managing regulatory requirements and updates over time is a time consuming 
and error prone process. The challenge is a unique one as the Australian banking regulator  
(APRA) must harmonise data definition across over 100 financial institutions.  
Due to the complexity and inefficiency of this process, it has been a challenge for APRA to roll 
out additional regulatory returns, hampering its prudential governance capability as well as 
limiting the granularity of some of Australia's economic data made  available to the Australian 
Bureau of Statistics. The ability to generate new economic data and metrics is crucial for 
economic planning purposes within the Australian government.  
Number of groups: 3","The goal is to develop a method for managing data definitions, logic and transformations across 
all regulatory returns and simplify the regulatory compliance process for banks.  
Requirements:  
1. Develop a method to automatically catalogue APRA regulatory requirements (https://sbr-
pet.apra.gov.au/ARF/ARF.html)  
3. Develop a logical data model (regulatory data model) which is fit for purpose for all regulatory 
reports. The logical data model should be implemented as a knowledge graph (Stardog)  
3. Develop a method to autom ate the generation of data transformation code (in SQL) from the 
regulatory data model to the output report formats. (using DBT)","Data modelling in both ER and graph techniques.  
Web content scraping  
Knowledge Graph programming and notation (RDF, TTL, Sparql)  
SQL (DBT)  
Cloud data lake platforms (Databricks Lakehouse)","A knowledge graph mapping out APRA reporting form specifications.  
A web user interface to visualise the knowledge graph.  
A method to specify data transformations that can be translated into executable ELT code in 
DBT",Alan Hsiao,P9 - APRA regulatory reporting automation.pdf
EcoM Platform for the FinTech Industry,"Prof. Fethi, Mingqin Yu, Dr. Basem Suleiman.","Software development; Web application development; Big data 
analytics and visualization .",5,"The EcoM platform is designed to assist corporations and investors in ESG (Environmental, 
Social, Governance) reporting and metrics management. The platform aligns with global 
initiatives such as the Paris Agreement, UNEP FI, IFRS, and TCFD, providing tools for 
sustainable investing .","The EcoM project aims to develop a comprehensive web application with a robust API and a 
user-friendly front-end interface. The application will enable users to manage and analyze ESG 
data, select ESG frameworks, adjust metrics' weights, and generate detailed repor ts. 
The EcoM project aims to develop a comprehensive web application with a robust API and a 
user-friendly front-end interface. The application will enable users to manage and analyze ESG 
data, select ESG frameworks, adjust metrics' weights, and generate detai led reports.  
Key Features and API Requirements  
1. Single Mode  
Functionality : Users can choose one industry and one company from a database including 
S&P 500 and ASX 200 companies, like CommBank and Westpac.  
API Needs : Endpoint to fetch industries and companies. Endpoint to retrieve ESG data for a 
selected company. Secure access to data with authentication and authorization mechanisms.  
Front-End Requirements:  User interface for selecting industries and companies. Display of 
ESG data for the selected company.  
2. Comparison Mode  
Functionality : Allows comparison of multiple companies across various industries.  
API Needs:  Endpoint to fetch comparison data for selected companies. Endpoint to calculate 
and return comparative metrics. Efficient data querying and processing.  
Front-End Requirements:  Interface for selecting multiple companies and industries. 
Visualization tools for comparing ESG metrics.   
3. Select Framework  
Functionality:  Users can choose or customize ESG frameworks (e.g., IFRS S1, IFRS S2, 
TCFD, TNFD, APRA-CPG).  
API Needs: Endpoint to list available frameworks and their details. Endpoint to customize and 
save user-defined frameworks. Data validation for metric consistency and accuracy.  
Front-End Requirements:  Interface for selecting and customizing ESG frameworks. Display of 
framework details and metrics.  
 
4. Subjective Weighting  
Functionality:  Users can assign weights to categories and metrics and visualize details.  
API Needs:  Endpoint to submit and retrieve user-defined weights. Data processing to apply 
weights and calculate weighted scores. Endpoint for visualization data.  
Front-End Requirements:  Interface for assigning weights to metrics. Visualization of weighted 
metrics and scores.  
 
5. Download Report  
Functionality: Users can download comprehensive ESG reports.  
API Needs:  Endpoint to generate and export reports in various formats (PDF, Excel). 
Integration with reporting tools and libraries. Endpoint to handle user-specific report preferences 
and templates.  
Front-End Requirements:  Interface for generating and downloading reports. Customizable 
report templates.  
 
6. Chat Feature  
Functionality:  Integration with ChatGPT API for a chatbot interface.  
API Needs : Endpoint to handle chat queries and responses. Secure integration with OpenAI's 
ChatGPT API. Logging and monitoring for user interactions.  
Front-End Requirements:  Chatbot interface for user queries. Display of chatbot responses 
and interactions.  
 
Innovative Features  
1.Real-time ESG Score Updates  
Functionality : Provides live updates on ESG scores based on the latest data.  
API Needs : WebSocket or long-polling endpoints for real-time data push.  
Front-End Requirements : Interface for displaying real-time updates and notifications.  
 2. Predictive Analytics  
Functionality : Uses machine learning to predict future ESG scores and trends.  
API Needs : Endpoints to handle ML model training, predictions, and result retrieval.  
Front-End Requirements : Visualization tools for displaying predictive analytics.  
 
Database and Data Sources  
The project will use the Clarity AI ESG Risk —Raw Data on Corporations database from 
EUROFIDAI, covering 105 metrics in environmental, social, and governance domains.","Software Development/Engineering, Web Application Development, Big Data Analytics and 
Visualization .","Source Code : Documented codebase and a recorded demo.  
Documentation : Comprehensive project documentation, including requirements, architecture, 
design, workflows, data models, and user guides.  
Challenges : Section detailing encountered challenges and solutions.",Mingqin Yu,P39 - EcoM Platform for the FinTech Industry.pdf
Electronic consent form,Katariina Pakarinen,"Computer hardware and networks; Software 
development ;Mobile application development; Cloud computing; Security/Cyber Security",2,"All new patients at the UNSW Optometry Clinic are required to sign a consent form when 
attending their initial appointment. In this form the patients are consenting/or not consenting to 
the following things 1) Consent to use de-identified data in research 2) Consent to be contacted 
to participate in research 3) Consent to be seen/tested by an optometry student.  
 
At the moment, the patients complete and sign a consent that it is in a paper form, that 
reception scans, emails and attaches to the patient record  in our patient management system 
SUNIX. This process is too manual and time consuming and we would like to streamline this. 
Our idea is for the patients to complete the consent form using an ipad, and we are hoping to 
export the consent form directly to t heir patient record or at least to the clinic inbox or a specific 
drive where the document can be further attached to their patient file.  
 
The data is highly sensitive (patient data) and cyber security and legal may need to be included 
in this project.","To be added once supplied by the client also can be 
discussed/clarified with the client in the first meeting.","To be added once supplied by the client also 
can be discussed/clarified with the client in the first meeting.","To be added once supplied by the client also 
can be discussed/clarified with the client in the first meeting.",Katariina Pakarinen,P33 - Electronic consent form.pdf
Verifiable Credentials: The Future of Digital Identity in Action,Evan Krul,"Software development; Web application development; Mobile 
application development; Security/Cyber Security; Human Computer Interaction (HCI).",9,"This project aims to implement a complete and extensible digital credential system.  
 
**Background**  
Digital identity no longer refers to usernames and passwords associated with some website. 
Our _traditional_ identities are being digitized at an unprecedented rate. Digital driver's licenses 
in NSW have already been available for a few years. This project  addresses the challenges of 
digitizing these _traditional_ identity documents.  
As a user, there are two factors to consider when moving to a digital identity. First, we must be 
issued a digital ID (e.g., through the Service NSW app). Second, we must be able to use our 
digital identity.  
The use of an identity means being able to present it to some other party. For example, 
presenting a driver's licence to a bar to prove you are over 18, presenting the same driver's 
licence to a car rental agency, or providing documents when opening a bank  account.  
 
We use the following terms:  
- Identity Owner: who the identity is for (e.g., You)  
- Issuer: who issues the identity (e.g., NSW Government)  
- Service Provider: the entity that needs to collect identity documents (e.g., bar, car rental 
agency)  
 
The current approach to providing this functionality is centralized:  
- The NSW Government stores a record of your license in their database  
- You can log into the Service NSW app. The app will contact the government server and 
display your credentials.  
- If you want to share a credential with some service provider, you 'request' that the servers of 
the NSW government will share your identity information with the service provider.  
 
This centralized identity management system approach has some key fatal flaws. The concentration of power that the NSW Government has acts as a single point of failure. For you 
to use your identity, the government servers have to be online and act on your behalf to share 
the identity.  
Furthermore, the government is informed every time you use your identity. Do you want the 
government to know what your favourite bar is? Surely not.  
The sharing of identity data with the service provider is also problematic. Oversharing of 
information leads to catastrophic data breaches (Medibank, Optus, etc.). A bar does not need 
my name and address to know I am over 18, yet the current digital identi ty implementations 
share this with them. Additionally, a bar also should not be able to track my visits by linking the 
presentations of my identity.  
In response to these concerns, a new identity paradigm has emerged: Self-Sovereign Identity 
(SSI).   
SSI aims to revolutionize identity management by empowering individuals to take control of 
their digital identity and not rely on a centralized authority \[1\]. 
The essence of SSI lies in the issuance and verification of user credentials. These credentials, 
issued by trusted entities, attest to the authenticity of a particular attribute of a user's identity. By 
holding the credentials, users eliminate reliance on third-party data custodians, reduce the 
potential for data breaches, and ensure they retain control over their identity.  
Simply put, instead of storing our digital identity on the NSW Government servers, we store the 
credentials in a wallet on our devices. Now the process becomes:  
- The NSW Government sends me a digital credential of your license  
- The Driver's License credential is stored in a wallet app on your phone  
- If you want to share a credential with some service provider, you choose to share the 
credential stored on your device with them.  
You have sovereign control over the use of your identity. The credentials are signed by the 
issuer with a digital signature so that when a credential is presented to a service provider, it can 
be verified (hence the name Verifiable Credentials). For more d etails, see Sections 1 and 2.1 of 
this paper: <https://arxiv.org/pdf/2404.06729>.  
We can also expand verifiable credentials (Selective disclosure Section 3.2.1, Unlinkability 
Section 3.2.2 in <https://arxiv.org/pdf/2404.06729>) .","**The Project**  
This project aims to develop a comprehensive end-to-end SSI implementation to serve as a 
basis for future implementations and evaluations.  
There is no solid, open-source, extensible, and up-to-date implementation of a complete SSI 
identity system. Having this in place would allow the demonstration and communication of SSI. 
Implementation of the extensions (i.e., Selective Disclosure) would hi ghlight the privacy benefits 
of SSI. The outcome of this project would be to provide a functional baseline implementation of 
a complex and interconnected multi-party system. The project promises a wide range of 
technical challenges, from protocol design an d implementation to library creation and UI/UX 
considerations in the wallet application.  
Good software engineering principles are key, as this project must be easily extensible to aid in 
the evaluation of further research in SSI.  
 
 The general goals of this project are as follows:  
1. Implement the complete lifecycle of credentials:  
    1. An agent library/application for issues to issue credentials  
    2. An agent and wallet (app or website) for identity owners to store and use their credentials  
    3. An agent library for service providers to collect credentials  
2. Support of Selective Disclosure when presenting credentials  
3. Support of Unlinkability when presenting credentials  
4. Sample implementations to demonstrate and evaluate, e.g., A car rental collecting a driver's 
license and a bar verifying age from the same verifiable credential.  
5. Possible support of _Identity Escrow_  
    1. More on this if you take the project, but it would require a fourth library/agent 
implementation  
The project's scope is adaptable to the student's progress and challenges encountered during 
the project.  
The end goal is a demo application that demonstrates the life-cycle of SSI credentials and 
supports selective disclosure, unlinkability, and potentially identity escrow.  
[1] C. Allen, “The Path to Self-Sovereign Identity.” Accessed: May 02, 2023. [Online]. Available: 
<https://www.lifewithalacrity.com/article/the-path-to-self-soverereign-identity/>  
- The agents must be extensible, being able to support any format of credential + signature 
scheme  
- Align as much as possible to existing standards being developed 
(<https://arxiv.org/pdf/2404.06729> Table 2).  
This includes:  
  - Credential Format  
  - Verification Mechanisms  
  - Protocols between parties  
  - etc. 
- Clear documentation and clean code","- Software Engineering (extensible design is a must)  
- Library design/implementation  
- Protocol design/implementation  
- Either app or web development  
- Optionally: Docker","- Agent/Library for Issuers  
- Agent/Library for Service Providers  
- Agent/Library + Wallet for Identity Owners  
- Full integration of the agents + wallet  
- Demo application showing the lifecycle of a credential  
- Optionally: Agent/Library + protocols for Identity Escrow .",Evan Krul,P18 - Verifiable Credentials- The Future of Digital Identity in Action.pdf
CSE space allocation management system,Arjun Radhakrishnan,Software development; Computer Science and Algorithms .,3,"1. About the project  
This proposal outlines the development of a Space Allocation Software System designed to 
streamline and optimize the allocation of physical spaces within K17, CSE. The primary 
objective is to create an intuitive, efficient, and scalable solution that ensures optimal utilization 
and future changes to the available spaces while meeting user needs and preferences. There 
are three aspects that CSE wishes  the project would focus on:  
i. CSE Meeting and Board Rooms space booking system (an upgrade from the current 
system that uses MS Outlook)  
ii. Hot desk allocation  
iii. New staff space allocation  
 
2. Project Objectives/ Goals  
• Efficient Space Utilization: Develop a software to capture the available spaces at K17 
building including Meeting Rooms,  based on specific criteria such as size, usage, and 
availability.  
• Space allocation: Individual space allocation for staff who are using hot desks in level 3 
area. Provide support to CSE admin team to allocate space for new staff joining.  
• User-Friendly Interface: Create an intuitive interface that allows users to easily manage 
and request space allocations.  
• Integration Capabilities: Ensure the software can integrate with existing systems like MS 
Teams, MS Outlook and the UNSW website.  
• Data Analytics: Provide reporting and usage data that aids in continuous improvement. .","Provide a space allocation management system that CSE staff can use to  
i. Book meeting rooms and board Rooms (an upgrade from the current system that uses MS 
Outlook)  
ii. Hot desk allocation for staff  
iii. New staff space allocation which will be carried out by admin staff.  
3. Scope of Work and deliverables  3.1. Requirements Analysis  
• Stakeholder Interviews: Conduct interviews with potential users to understand their 
needs and preferences.  
• Use Case Development: Develop detailed use cases to capture functional and non-
functional requirements.  
• Technical Feasibility Study: Assess the technical requirements and feasibility of 
integrating with existing systems.  
3.2. System Design  
• Define the system architecture, including data flow diagrams, plans to integrate database 
with existing database if needed, develop prototype focusing on ease of use  and accessibility 
for users with a range of technical capabilities.  
• Consider constraints like occupancy, scheduling conflicts, and user preferences.  
3.3. Development  
• Backend Development: Implement the server-side logic, database management, and API 
integrations.  
• Frontend Development: Develop the user interface that can be easily integrated to 
existing university systems and that requires minimal upgrades.  
• Integration: Integrate the system with existing tools such as MS Outlook, MS Teams and 
facility management systems (further information provided once the quote for the new AV 
system is approved).  
3.4. Testing  
• Unit Testing: Test individual components for functionality and reliability.  
• System Testing: Conduct end-to-end testing to ensure all components work seamlessly 
together.  
• User Acceptance Testing (UAT): Engage with a sample group of end-users to validate 
the system’s functionality and usability.  
3.5. Deployment  
• Stage 1: Deploy the system final testing and validation by users (CSE Admin).  
• Stage 2: Launch the system for all users to use once testing is final.  
• Training & Documentation: Provide comprehensive training sessions and documentation 
for end-users (CSE admin team).  
3.6. Maintenance and Support  
• Training: Provide access and training for select staff to manage the system.  
• Updates and Enhancements: Provide a detailed document on possible updates the 
system may need to undergo for the next five years. Include CSE staff to supervise the 
documentation.","Technical Skills  
Software Development  
Programming Languages  
• Proficiency in languages such as Python, Java, JavaScript, or similar.  
• Web Development: Knowledge of HTML, CSS, and JavaScript frameworks (e.g., React, 
Angular, Vue.js).  
Backend Development  
• Server -Side Languages: Proficiency in languages such as Node.js, Django (Python), 
Ruby on Rails, or similar.  
• Database Management: Skills in SQL and experience with databases like MySQL, 
PostgreSQL, MongoDB, or similar.  
• API Development: Experience in developing RESTful and/or GraphQL APIs.  
Frontend Development  
• UI/UX Design: Skills in creating intuitive and user-friendly interfaces.  
• Frontend Frameworks: Experience with frameworks like React, Angular, or Vue.js.  
• Integration  
• API Integration: Experience with integrating third-party services and APIs (e.g., Google 
Calendar, Microsoft Outlook).  
• Middleware: Knowledge of middleware technologies for smooth integration.","- The finished product is expected to be utilised for the long-term hence the knowledge of the 
source code shall be shared with the UNSW central IT team or CSE team.  
 - Training resources for staff/ training to select staff who could train the rest of the team",Arjun Radhakrishnan,P20 - CSE space allocation management system.pdf
CALDtalk: Overcoming language barriers in our community,Sonit Singh,"Software development; Web application development; Mobile 
application development; Artificial Intelligence (Machine/Deep Learning, NLP) .",4,"Australia has a rich diversity in population with individuals coming from culturally and 
linguistically diverse backgrounds (refers CALD in short). Across many industries such as 
healthcare, aged care, and government services, we need help of professional interpreters as 
these people do not speak English well. Having a professional interpret readily available always 
is not feasible and it is expensive. To overcome language barriers in our community, there is a 
need to have an app which can translate languages and provide equitable services .","The aim of the project is to develop an app using artificial intelligence technologies such as 
automatic speech recognition such as OpenAI Whisper model and large language models 
(LLMs) for machine translation. The goal is to utilise existing open-source t echnologies in the 
form of APIs and making a functional app for translation services . 
We got a list of common phrases used in residential and community aged care settings which 
can be used to check performance of the built app.","For this project, we aim to use open-source UI frameworks such as Flutter, open-source LLMs 
such as Llama3 and OpenAI  Whisper model to develop a functional app for translation services 
to be useful for community .","The team working on the project should deliver a written report on the project, source code, and 
working web application .",Sonit Singh,P17 - CALDtalk- Overcoming language barriers in our community.pdf
A System for Predicting Information Evolution in Social Networks,Jiaojiao Jiang,Software development; Big data analytics and visualization .,5,"A ""meme"" is a piece of transmissible information that spread and evolve analogously to genes 
through communication. The goal of this project is to develop a system that can predict the 
evolution of information within social networks. By analyzing the spread and transformation of 
data, this system aims to provide insights into how information evolves over time, enabling 
better understand ing and forecasting of trends, virality, and influence patterns within digital 
communities .","1. Data Acquisition: Building pipelines to collect and store data from social networks such as 
Twitter, Facebook, Instagram, and Reddit.  
2. Data Processing: Cleaning and preprocessing data to ensure quality and consistency for 
analysis.  
3. Algorithm Development: Implementing the Yule model to detect, analyze, and predict 
information spread, including text analysis, trend detection, and network analysis.  
4. System Development: Integrating all components into a cohesive system with a user-friendly 
interface for end-users . 
Data Collection Module:  
 
1. Social Media Integration: Integrate with APIs of major social networks such as Twitter, 
Facebook, Instagram, and Reddit.  
2. Data Types: Collect various types of data, including text posts, images, videos, comments, 
likes, shares, and timestamps.  
3. Historical Data: Ability to retrieve historical data within the limits set by each platform.  
4. Data Storage: Store collected data in a scalable, efficient database.  
 
Data Processing Module  
1. Data Cleaning: Implement processes to remove duplicates, correct errors, and standardize data formats.  
2. Preprocessing: Tokenization, stop-word removal, stemming/lemmatization for text data.  
3. Data Transformation: Transform raw data into structured formats suitable for analysis, such 
as JSON or CSV.  
Visualization Tools  
1. Dashboard: Create an interactive dashboard for users to visualize trends, predictions, and 
network dynamics.  
2. Graphs and Charts: Provide various types of visualizations such as line graphs, bar charts, 
heat maps, and network graphs.  
3. Customizable Views: Allow users to customize views based on parameters like time range, 
data source, and specific topics.","Programming Languages  
1. Python: For data processing and backend development.  
2. JavaScript: For frontend development.  
3. SQL/NoSQL: For database management and querying . 
Adaptability and Collaboration  
1. Learning New Technologies: Willingness to learn and adapt to new technologies and 
methodologies as the project evolves.  
2. Team Collaboration: Ability to work effectively within a multidisciplinary team.","source code, user guide, and documentation.",Jiaojiao Jiang,P11 - A System for Predicting Information Evolution in Social Networks.pdf
"The Association of Gene Expression of Microbes and Host Immune Responses in 
Eye Infections.",Nicole Carnt,Bioinformatics/Biomedical .,6,"The balance between microbes and the host immune response in ocular surface eye infections 
is balanced by the control of the infective process and limiting scarring from excess 
inflammation. A dataset of total RNA from eye infections collected by ocular su rface swabs and 
analysed by RNASeq has been investigated for host immune response. Preliminary data on 
microbe/microbiome gene expression has been extracted but how this aligns with the type and 
outcome of infection is not known .","In this study, you will investigate the total RNA gene expression from ocular surface eye 
infections using emerging software tools and design of novel algorithms. This will be associated 
with infection type and outcome (which will be provided by the client ).",Capability to use “R” packages for data analysis and visualisation.,"Source code, pilot data to be used in funding applications .",Nicole Carnt,P34 - The association of gene expression of microbes and host immune responses in eye infections.pdf
